t_index    term   df
6dc1c24a   avenu   8
96b9809b   averag   14
32253e91   avert   6
d63723fa   aviat   3
64748d48   aviv   7
581c8aa0   avner   2
e644a938   avoid   72
75d69aa9   avow   1
d64d47b2   aw   14
af7b8e86   awad   2
7cfd43b7   awai   208
0b8ac3a2   await   30
774302db   awaken   2
6ded19d0   awar   19
e9d62006   award   10
c185321e   aweigh   1
8a2d159d   awfulli   2
cc7d624f   awkward   4
c6462dd2   awn   4
e63a5fd1   awok   1
6bf0088a   ax   1
0da889af   axam   1
dcedc98e   ay   2
2dcf8618   ayatollah   1
057cff9e   aykroyd   1
0deeb27b   ayman   5
eee3c49e   aynaoui   2
26faaec4   ayr   1
b8b2196c   ayyam   3
05cb8a83   az   1
24392674   aziz   1
0e568cfd   azul   1
e0f79b26   azulai   3
c7843b96   ba   2
78b44559   babenko   4
a33386bc   babi   22
ffc65d68   babkin   25
d79144f2   baboa   2
f91cb8b6   backa   1
7e5d5248   backbo   2
88b73fcb   backcourt   1
5f88e1f1   backdrop   4
a77e4102   backer   23
b788a6fa   backfir   5
b767460d   background   5
d90d11e6   backhand   20
2380e862   backho   1
8ce2cca2   backlash   3
85b0a41e   backstop   2
dade921b   backup   2
f3bf502b   backward   3
25435512   backyard   1
ed80d3cb   bacon   41
2c41490a   bad   42
f7a84ec4   badawi   2
0f2cde65   badg   3
aec874a2   badli   41
a2186ac0   badrasen   6
9627ba9c   baffl   2
f5670a07   bag   14
d318a58c   bagad   1
3475e369   baggag   2
c712b402   baghbel   1
c4354b65   baghdad   3
f44eb2aa   bahg   5
b90fddce   bahrain   54
ffc7843b   bai   9
987c1108   baijubahi   2
4944e053   bail   4
f099e025   bailei   8
395309e4   baird   2
889f03b7   bairnt   1
8172f939   bait   1
32e1eb63   bakarec   3
492adbd1   bake   2
8839acef   baken   4
9c79b196   baker   7
1db407b5   bakhshish   1
e48c75d6   bakri   8
b6ff2e5a   balanc   23
617ec089   balawat   2
879262b7   balcacer   2
7b9acee6   balconi   11
8449d5e2   bald   1
fb10bd06   balint   1
39f49ada   balk   4
7b7910db   balkan   45
3ca4ddc4   ball   41
0b0c40e7   ballard   2
a7164879   ballast   3
942cda28   ballena   1
9f728d77   ballist   2
24e137b6   ballo   1
c36df8cf   balloon   3
bccf1ed2   ballot   109
ec4c48cd   ballroom   2
3171ce73   balonia   1
932aa173   balsamo   1
e27d1516   baltimor   7
f4d11c47   baltin   2
5d11ffe4   bamba   6
e5fcf7c2   bambi   2
30ca3f63   bamboo   4
685c77d3   bament   1
fa97c325   ban   31
02850108   banco   1
8bd72742   band   21
00820d4e   bandag   18
e8385fcb   bandanna   3
fb3c1785   bandit   1
52f1644f   bang   7
04f5b280   bangalor   1
b22f17a4   bangaru   3
5e554ab2   bangladesh   8
366a687a   bank   96
1f30335b   banker   10
0a050bd3   bankrupt   6
d6131bed   bankruptci   6
842e895d   banner   9
cdb32e0e   bannon   1
7fe45baa   banquet   1
